date,open,high,low,close,volume
1784018524,0.01,0.01,0.01,0.01,0
1784018824,0.01,0.01,0.01,0.01,0
1784019124,0.01,0.01,0.01,0.01,0
1784019424,0.01,0.01,0.01,0.01,0
1784019724,0.01,0.01,0.01,0.01,0
1784020024,0.01,0.01,0.01,0.01,0
1784020324,0.01,0.01,0.01,0.01,0
1784020624,0.01,0.01,0.01,0.01,0
1784020924,0.01,0.01,0.01,0.01,0
1784021224,0.01,0.01,0.01,0.01,0
1784021524,0.01,0.01,0.01,0.01,0
1784021824,0.01,0.01,0.01,0.01,0
1784022124,0.01,0.01,0.01,0.01,0
1784022424,0.01,0.01,0.01,0.01,0
1784022724,0.01,0.01,0.01,0.01,0
1784023024,0.01,0.01,0.01,0.01,0
1784023324,0.01,0.01,0.01,0.01,0
1784023624,0.01,0.01,0.01,0.01,0
1784023924,0.01,0.01,0.01,0.01,0
1784024224,0.01,0.01,0.01,0.01,0
1784024524,0.01,0.01,0.01,0.01,0
1784024824,0.01,0.01,0.01,0.01,0
1784025124,0.01,0.01,0.01,0.01,0
1784025424,0.01,0.01,0.01,0.01,0
1784025724,0.01,0.01,0.01,0.01,0
1784026024,0.01,0.01,0.01,0.01,0
1784026324,0.01,0.01,0.01,0.01,0
1784026624,0.01,0.01,0.01,0.01,0
1784026924,0.01,0.01,0.01,0.01,0
1784027224,0.01,0.01,0.01,0.01,0
1784027524,0.01,0.01,0.01,0.01,0
1784027824,0.01,0.01,0.01,0.01,0
1784028124,0.01,0.01,0.01,0.01,0
1784028424,0.01,0.01,0.01,0.01,0
1784028724,0.01,0.01,0.01,0.01,0
1784029024,0.01,0.01,0.01,0.01,0
1784029324,0.01,0.01,0.01,0.01,0
1784029624,0.01,0.01,0.01,0.01,0
1784029924,0.01,0.01,0.01,0.01,0
1784030224,0.01,0.01,0.01,0.01,0
1784030524,0.01,0.01,0.01,0.01,0
1784030824,0.01,0.01,0.01,0.01,0
1784031124,0.01,0.01,0.01,0.01,0
1784031424,0.01,0.01,0.01,0.01,0
1784031724,0.01,0.01,0.01,0.01,0
1784032024,0.01,0.01,0.01,0.01,0
1784032324,0.01,0.01,0.01,0.01,0
1784032624,0.01,0.01,0.01,0.01,0
1784032924,0.01,0.01,0.01,0.01,0
1784033224,0.01,0.01,0.01,0.01,0
1784033524,0.01,0.01,0.01,0.01,0
